年,性別,年齢,旧,新,確率
2015-20,1,8,27,27,0.7802
2015-20,1,8,31,27,0
2015-20,1,8,34,27,0
2015-20,1,8,35,27,0
2015-20,1,8,37,27,0.0234
2015-20,1,8,99,27,0
2015-20,1,4,11,31,0.0041
2015-20,1,4,15,31,0
2015-20,1,4,17,31,0.0012
2015-20,1,4,21,31,0.0438
2015-20,1,4,22,31,0.0438
2015-20,1,4,23,31,0.0219
2015-20,1,4,25,31,0
2015-20,1,4,27,31,0
2015-20,1,4,31,31,0.4175
2015-20,1,4,34,31,0
2015-20,1,4,35,31,0
2015-20,1,4,37,31,0
2015-20,1,4,99,31,0
2015-20,1,5,11,31,0.0107
2015-20,1,5,15,31,0
2015-20,1,5,17,31,0.0012
2015-20,1,5,21,31,0.0438
2015-20,1,5,22,31,0.0438
2015-20,1,5,23,31,0.0219
2015-20,1,5,25,31,0
2015-20,1,5,27,31,0
2015-20,1,5,31,31,0.3328
2015-20,1,5,34,31,0
2015-20,1,5,35,31,0
2015-20,1,5,37,31,0
2015-20,1,5,99,31,0
2015-20,1,6,11,31,0.0095
2015-20,1,6,15,31,0
2015-20,1,6,17,31,0
2015-20,1,6,21,31,0.0436
2015-20,1,6,22,31,0.0436
2015-20,1,6,23,31,0.017
2015-20,1,6,25,31,0
2015-20,1,6,27,31,0
2015-20,1,6,31,31,0.3345
2015-20,1,6,34,31,0
2015-20,1,6,35,31,0
2015-20,1,6,37,31,0
2015-20,1,6,99,31,0
2015-20,1,7,11,31,0.0055
2015-20,1,7,15,31,0
2015-20,1,7,17,31,0
2015-20,1,7,21,31,0.0444
2015-20,1,7,22,31,0.0444
2015-20,1,7,23,31,0.0192
2015-20,1,7,25,31,0
2015-20,1,7,27,31,0
2015-20,1,7,31,31,0.375
2015-20,1,7,34,31,0
2015-20,1,7,35,31,0
2015-20,1,7,37,31,0
2015-20,1,7,99,31,0
2015-20,1,8,11,31,0.0028
2015-20,1,8,15,31,0
2015-20,1,8,17,31,0
2015-20,1,8,21,31,0.0434
2015-20,1,8,22,31,0.0434
2015-20,1,8,23,31,0.0219
2015-20,1,8,25,31,0
2015-20,1,8,27,31,0
2015-20,1,8,31,31,0.4918
2015-20,1,8,34,31,0
2015-20,1,8,35,31,0
2015-20,1,8,37,31,0
2015-20,1,8,99,31,0
2015-20,1,4,11,34,0
2015-20,1,4,15,34,0
2015-20,1,4,17,34,0.0001
2015-20,1,4,21,34,0
2015-20,1,4,22,34,0
2015-20,1,4,23,34,0.0219
2015-20,1,4,25,34,0
2015-20,1,4,27,34,0
2015-20,1,4,31,34,0
2015-20,1,4,34,34,0.4175
2015-20,1,4,35,34,0
2015-20,1,4,37,34,0
2015-20,1,4,99,34,0
2015-20,1,5,11,34,0
2015-20,1,5,15,34,0
2015-20,1,5,17,34,0.0001
2015-20,1,5,21,34,0
2015-20,1,5,22,34,0
2015-20,1,5,23,34,0.0219
2015-20,1,5,25,34,0
2015-20,1,5,27,34,0
2015-20,1,5,31,34,0
2015-20,1,5,34,34,0.3328
2015-20,1,5,35,34,0
2015-20,1,5,37,34,0
2015-20,1,5,99,34,0
2015-20,1,6,11,34,0
2015-20,1,6,15,34,0
2015-20,1,6,17,34,0
2015-20,1,6,21,34,0
2015-20,1,6,22,34,0
2015-20,1,6,23,34,0.0084
2015-20,1,6,25,34,0
2015-20,1,6,27,34,0
2015-20,1,6,31,34,0
2015-20,1,6,34,34,0.3345
2015-20,1,6,35,34,0
2015-20,1,6,37,34,0
2015-20,1,6,99,34,0
2015-20,1,7,11,34,0
2015-20,1,7,15,34,0
2015-20,1,7,17,34,0
2015-20,1,7,21,34,0
2015-20,1,7,22,34,0
2015-20,1,7,23,34,0.0073
2015-20,1,7,25,34,0
2015-20,1,7,27,34,0
2015-20,1,7,31,34,0
2015-20,1,7,34,34,0.375
2015-20,1,7,35,34,0
2015-20,1,7,37,34,0
2015-20,1,7,99,34,0
2015-20,1,8,11,34,0
2015-20,1,8,15,34,0
2015-20,1,8,17,34,0
2015-20,1,8,21,34,0
2015-20,1,8,22,34,0
2015-20,1,8,23,34,0.0079
2015-20,1,8,25,34,0
2015-20,1,8,27,34,0
2015-20,1,8,31,34,0
2015-20,1,8,34,34,0.4918
2015-20,1,8,35,34,0
2015-20,1,8,37,34,0
2015-20,1,8,99,34,0
2015-20,1,4,11,35,0
2015-20,1,4,15,35,0.0041
2015-20,1,4,17,35,0.0001
2015-20,1,4,21,35,0
2015-20,1,4,22,35,0
2015-20,1,4,23,35,0
2015-20,1,4,25,35,0.0438
2015-20,1,4,27,35,0
2015-20,1,4,31,35,0
2015-20,1,4,34,35,0
2015-20,1,4,35,35,0.4175
2015-20,1,4,37,35,0
2015-20,1,4,99,35,0
2015-20,1,5,11,35,0
2015-20,1,5,15,35,0.0107
2015-20,1,5,17,35,0.0005
2015-20,1,5,21,35,0
2015-20,1,5,22,35,0
2015-20,1,5,23,35,0
2015-20,1,5,25,35,0.0438
2015-20,1,5,27,35,0
2015-20,1,5,31,35,0
2015-20,1,5,34,35,0
2015-20,1,5,35,35,0.3328
2015-20,1,5,37,35,0
2015-20,1,5,99,35,0
2015-20,1,6,11,35,0
2015-20,1,6,15,35,0.0095
2015-20,1,6,17,35,0
2015-20,1,6,21,35,0
2015-20,1,6,22,35,0
2015-20,1,6,23,35,0.0028
2015-20,1,6,25,35,0.0436
2015-20,1,6,27,35,0
2015-20,1,6,31,35,0
2015-20,1,6,34,35,0
2015-20,1,6,35,35,0.3345
2015-20,1,6,37,35,0
2015-20,1,6,99,35,0
2015-20,1,7,11,35,0
2015-20,1,7,15,35,0.0055
2015-20,1,7,17,35,0
2015-20,1,7,21,35,0
2015-20,1,7,22,35,0
2015-20,1,7,23,35,0.0012
2015-20,1,7,25,35,0.0444
2015-20,1,7,27,35,0
2015-20,1,7,31,35,0
2015-20,1,7,34,35,0
2015-20,1,7,35,35,0.375
2015-20,1,7,37,35,0
2015-20,1,7,99,35,0
2015-20,1,8,11,35,0
2015-20,1,8,15,35,0.0028
2015-20,1,8,17,35,0
2015-20,1,8,21,35,0
2015-20,1,8,22,35,0
2015-20,1,8,23,35,0.0005
2015-20,1,8,25,35,0.0434
2015-20,1,8,27,35,0
2015-20,1,8,31,35,0
2015-20,1,8,34,35,0
2015-20,1,8,35,35,0.4918
2015-20,1,8,37,35,0
2015-20,1,8,99,35,0
2015-20,1,4,11,37,0
2015-20,1,4,15,37,0
2015-20,1,4,17,37,0.0027
2015-20,1,4,21,37,0
2015-20,1,4,22,37,0
2015-20,1,4,23,37,0
2015-20,1,4,25,37,0
2015-20,1,4,27,37,0.0438
2015-20,1,4,31,37,0
2015-20,1,4,34,37,0
2015-20,1,4,35,37,0
2015-20,1,4,37,37,0.4175
2015-20,1,4,99,37,0
2015-20,1,5,11,37,0
2015-20,1,5,15,37,0
2015-20,1,5,17,37,0.009
2015-20,1,5,21,37,0
2015-20,1,5,22,37,0
2015-20,1,5,23,37,0
2015-20,1,5,25,37,0
2015-20,1,5,27,37,0.0438
2015-20,1,5,31,37,0
2015-20,1,5,34,37,0
2015-20,1,5,35,37,0
2015-20,1,5,37,37,0.3328
2015-20,1,5,99,37,0
2015-20,1,6,11,37,0
2015-20,1,6,15,37,0
2015-20,1,6,17,37,0.0095
2015-20,1,6,21,37,0
2015-20,1,6,22,37,0
2015-20,1,6,23,37,0.0154
2015-20,1,6,25,37,0
2015-20,1,6,27,37,0.0436
2015-20,1,6,31,37,0
2015-20,1,6,34,37,0
2015-20,1,6,35,37,0
2015-20,1,6,37,37,0.3345
2015-20,1,6,99,37,0
2015-20,1,7,11,37,0
2015-20,1,7,15,37,0
2015-20,1,7,17,37,0.0055
2015-20,1,7,21,37,0
2015-20,1,7,22,37,0
2015-20,1,7,23,37,0.0165
2015-20,1,7,25,37,0
2015-20,1,7,27,37,0.0444
2015-20,1,7,31,37,0
2015-20,1,7,34,37,0
2015-20,1,7,35,37,0
2015-20,1,7,37,37,0.375
2015-20,1,7,99,37,0
2015-20,1,8,11,37,0
2015-20,1,8,15,37,0
2015-20,1,8,17,37,0.0028
2015-20,1,8,21,37,0
2015-20,1,8,22,37,0
2015-20,1,8,23,37,0.0131
2015-20,1,8,25,37,0
2015-20,1,8,27,37,0.0434
2015-20,1,8,31,37,0
2015-20,1,8,34,37,0
2015-20,1,8,35,37,0
2015-20,1,8,37,37,0.4918
2015-20,1,8,99,37,0
2015-20,1,4,11,99,0.0021
2015-20,1,4,15,99,0.0021
2015-20,1,4,17,99,0.0021
2015-20,1,4,21,99,0.0022
2015-20,1,4,22,99,0.0022
2015-20,1,4,23,99,0.0022
2015-20,1,4,25,99,0.0022
2015-20,1,4,27,99,0.0022
2015-20,1,4,31,99,0.0066
2015-20,1,4,34,99,0.0066
2015-20,1,4,35,99,0.0066
2015-20,1,4,37,99,0.0066
2015-20,1,4,99,99,1
2015-20,1,5,11,99,0.0029
2015-20,1,5,15,99,0.0029
2015-20,1,5,17,99,0.0029
2015-20,1,5,21,99,0.0024
2015-20,1,5,22,99,0.0024
2015-20,1,5,23,99,0.0024
2015-20,1,5,25,99,0.0024
2015-20,1,5,27,99,0.0024
2015-20,1,5,31,99,0.0077
2015-20,1,5,34,99,0.0077
2015-20,1,5,35,99,0.0077
2015-20,1,5,37,99,0.0077
2015-20,1,5,99,99,1
2015-20,1,6,11,99,0.0033
2015-20,1,6,15,99,0.0033
2015-20,1,6,17,99,0.0033
2015-20,1,6,21,99,0.0019
2015-20,1,6,22,99,0.0019
2015-20,1,6,23,99,0.0019
2015-20,1,6,25,99,0.0019
2015-20,1,6,27,99,0.0019
2015-20,1,6,31,99,0.0083
2015-20,1,6,34,99,0.0083
2015-20,1,6,35,99,0.0083
2015-20,1,6,37,99,0.0083
2015-20,1,6,99,99,1
2015-20,1,7,11,99,0.0048
2015-20,1,7,15,99,0.0048
2015-20,1,7,17,99,0.0048
2015-20,1,7,21,99,0.002
2015-20,1,7,22,99,0.002
