年,性別,年齢,旧,新,確率
2015-16,2,7,99,22,0.0
2015-16,2,7,99,23,0.0
2015-16,2,7,99,25,0.0
2015-16,2,7,99,24,0.0
2015-16,2,7,99,21,0.0
2015-16,2,7,99,27,0.0
2015-16,2,7,99,26,0.0
2015-16,2,7,99,15,0.0
2015-16,2,7,99,11,0.0
2015-16,2,7,99,17,0.0
2015-16,2,7,99,35,0.0
2015-16,2,7,99,34,0.0
2015-16,2,7,99,31,0.0
2015-16,2,7,99,37,0.0
2015-16,2,7,99,99,1.0
2015-16,2,8,11,22,0.0
2015-16,2,8,11,23,0.0
2015-16,2,8,11,25,0.0
2015-16,2,8,11,24,0.0
2015-16,2,8,11,21,0.0
2015-16,2,8,11,27,0.0117
2015-16,2,8,11,26,0.1623
2015-16,2,8,11,15,0.0
2015-16,2,8,11,11,0.6612
2015-16,2,8,11,17,0.1554
2015-16,2,8,11,35,0.0
2015-16,2,8,11,34,0.0
2015-16,2,8,11,31,0.0047
2015-16,2,8,11,37,0.0
2015-16,2,8,11,99,0.0048
2015-16,2,8,15,22,0.0
2015-16,2,8,15,23,0.0
2015-16,2,8,15,25,0.0
2015-16,2,8,15,24,0.0
2015-16,2,8,15,21,0.0
2015-16,2,8,15,27,0.0
2015-16,2,8,15,26,0.174
2015-16,2,8,15,15,0.8166
2015-16,2,8,15,11,0.0
2015-16,2,8,15,17,0.0
2015-16,2,8,15,35,0.0047
2015-16,2,8,15,34,0.0
2015-16,2,8,15,31,0.0
2015-16,2,8,15,37,0.0
2015-16,2,8,15,99,0.0048
2015-16,2,8,17,22,0.0
2015-16,2,8,17,23,0.0
2015-16,2,8,17,25,0.0
2015-16,2,8,17,24,0.0
2015-16,2,8,17,21,0.0
2015-16,2,8,17,27,0.0216
2015-16,2,8,17,26,0.1524
2015-16,2,8,17,15,0.0011
2015-16,2,8,17,11,0.1053
2015-16,2,8,17,17,0.7102
2015-16,2,8,17,35,0.0
2015-16,2,8,17,34,0.0
2015-16,2,8,17,31,0.0
2015-16,2,8,17,37,0.0047
2015-16,2,8,17,99,0.0048
2015-16,2,8,21,22,0.0
2015-16,2,8,21,23,0.0
2015-16,2,8,21,25,0.0
2015-16,2,8,21,24,0.0
2015-16,2,8,21,21,0.9281
2015-16,2,8,21,27,0.0
2015-16,2,8,21,26,0.0
2015-16,2,8,21,15,0.0
2015-16,2,8,21,11,0.0
2015-16,2,8,21,17,0.0
2015-16,2,8,21,35,0.0
2015-16,2,8,21,34,0.0
2015-16,2,8,21,31,0.0699
2015-16,2,8,21,37,0.0
2015-16,2,8,21,99,0.002
2015-16,2,8,24,22,0.0
2015-16,2,8,24,23,0.0
2015-16,2,8,24,25,0.0
2015-16,2,8,24,24,0.9281
2015-16,2,8,24,21,0.0
2015-16,2,8,24,27,0.0
2015-16,2,8,24,26,0.0
2015-16,2,8,24,15,0.0
2015-16,2,8,24,11,0.0
2015-16,2,8,24,17,0.0
2015-16,2,8,24,35,0.0
2015-16,2,8,24,34,0.0699
2015-16,2,8,24,31,0.0
2015-16,2,8,24,37,0.0
2015-16,2,8,24,99,0.002
2015-16,2,8,26,22,0.0
2015-16,2,8,26,23,0.0
2015-16,2,8,26,25,0.0
2015-16,2,8,26,24,0.0161
2015-16,2,8,26,21,0.0015
2015-16,2,8,26,27,0.0016
2015-16,2,8,26,26,0.909
2015-16,2,8,26,15,0.0
2015-16,2,8,26,11,0.0
2015-16,2,8,26,17,0.0
